City_ID,City,Country,current Description,Max Temp,Lat,Lng,Hotel Name
572,Kloulklubed,PW,scattered clouds,84.2,7.0419,134.2556,Storyboard Beach Resort
573,Shimoda,JP,scattered clouds,79.11,34.6667,138.95,Shimoda Tokyu Hotel
574,Pathein,MM,light rain,77.61,16.7833,94.7333,Pathein Hotel
576,Ternate,ID,scattered clouds,84.16,0.8,127.4,Sahid Bela Ternate Hotel
579,Nokha,IN,broken clouds,86.63,27.6,73.4167,Gurukarpa Hotel
581,Khetri,IN,overcast clouds,86.92,27.9833,75.8,Dinesh Rajoria
584,Madras,IN,scattered clouds,89.58,13.0878,80.2785,"Taj Connemara, Chennai"
592,Manggar,ID,overcast clouds,82.09,-2.8833,108.2667,Guest Hotel
599,Orange Cove,US,clear sky,88.29,36.6244,-119.3137,
603,Kahului,US,few clouds,80.62,20.8947,-156.47,Maui Seaside Hotel
613,Tuburan,PH,broken clouds,87.89,6.6439,122.2736,GT Site
614,Miramar,US,scattered clouds,86.02,25.9873,-80.2323,Stadium Hotel
623,Nador,MA,clear sky,86.25,35.174,-2.9287,Hôtel La Giralda
628,Srandakan,ID,overcast clouds,82.18,-7.9386,110.2506,Puri Brata
629,Weleri,ID,overcast clouds,89.49,-6.9713,110.0666,Pengobatan Tradisional Weleri
631,Pitiquito,MX,scattered clouds,85.1,30.7,-112.0833,La Víspera
632,Balikpapan,ID,few clouds,83.39,-1.2675,116.8289,Swiss-Belhotel Balikpapan
633,Katherine,AU,few clouds,89.92,-14.4667,132.2667,Pine Tree Motel
635,Chanthaburi,TH,heavy intensity rain,79.5,12.8333,102.1667,Home Valley Station Garden River.
641,Aksu,CN,few clouds,78.53,41.1231,80.2644,Pudong Holiday Hotel
648,Kieta,PG,light rain,82.58,-6.2167,155.6333,Uruna Bay Retreat
653,Gazojak,TM,clear sky,76.35,41.1875,61.4036,
655,Havelock,US,overcast clouds,82.38,34.8791,-76.9013,Sherwood Motel
657,Lixourion,GR,few clouds,75.2,38.2019,20.4314,Hotel Summery
658,Shasta Lake,US,clear sky,86.72,40.6804,-122.3708,Shasta Dam Motel
659,Bandarbeyla,SO,broken clouds,80.01,9.4942,50.8122,JABIR HOTEL
664,Hope,US,overcast clouds,75.25,33.6671,-93.5916,Best Western Hope
666,Newark,US,overcast clouds,75.92,40.7357,-74.1724,"Robert Treat Hotel, BW Premier Collection"
669,Oussouye,SN,overcast clouds,75.7,12.485,-16.5469,Auberge du Routard
670,Sibolga,ID,overcast clouds,86.34,1.7427,98.7792,Hotel Syariah CN Darussalam
674,La Asuncion,VE,overcast clouds,77.79,11.0333,-63.8628,Colinas de Matasiete
