City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,Airai,-8.9266,125.4092,55.44,81,76,2.26,TL,2022-08-03 16:51:24
149,Praia Da Vitoria,38.7333,-27.0667,80.76,83,40,4.07,PT,2022-08-03 16:55:53
150,Taman,45.2117,36.7161,77.95,67,2,7.72,RU,2022-08-03 16:55:53
151,Puerto Del Rosario,28.5004,-13.8627,78.55,73,20,20.71,ES,2022-08-03 16:53:28
152,General Pico,-35.6566,-63.7568,63.82,50,0,6.02,AR,2022-08-03 16:55:54
153,Cairns,-16.9167,145.7667,71.55,88,100,6.91,AU,2022-08-03 16:55:32
154,Neuquen,-38.9516,-68.0591,49.89,46,42,0.0,AR,2022-08-03 16:55:55
155,Vao,-22.6667,167.4833,71.38,84,16,15.37,NC,2022-08-03 16:55:55
156,Colquechaca,-18.6667,-66.0167,49.37,11,11,11.27,BO,2022-08-03 16:55:55
157,Lorengau,-2.0226,147.2712,81.64,79,96,8.77,PG,2022-08-03 16:55:56
158,Monchegorsk,67.9397,32.8739,62.37,58,60,8.08,RU,2022-08-03 16:55:56
159,Menongue,-14.6585,17.691,71.28,26,14,1.43,AO,2022-08-03 16:55:57
160,Arman,59.7,150.1667,53.02,93,97,3.15,RU,2022-08-03 16:55:57
161,Uray,60.1247,64.7758,62.94,58,5,3.6,RU,2022-08-03 16:55:58
162,Cabo San Lucas,22.8909,-109.9124,92.17,54,0,5.08,MX,2022-08-03 16:55:58
163,Butaritari,3.0707,172.7902,80.85,78,41,14.61,KI,2022-08-03 16:55:59
164,Thompson,55.7435,-97.8558,59.16,47,40,12.66,CA,2022-08-03 16:55:59
165,Alofi,-19.0595,-169.9187,71.49,83,74,5.75,NU,2022-08-03 16:56:00
166,Klaksvik,62.2266,-6.589,49.12,81,32,19.39,FO,2022-08-03 16:56:00
167,Rio Gallegos,-51.6226,-69.2181,39.25,93,75,7.74,AR,2022-08-03 16:51:36
168,Peterhead,57.5058,-1.7981,63.0,78,58,18.41,GB,2022-08-03 16:56:00
169,Sitka,57.0531,-135.33,53.49,94,40,0.0,US,2022-08-03 16:56:01
170,Russell,32.3502,-85.1999,79.88,74,75,3.44,US,2022-08-03 16:56:01
171,Luau,-10.7073,22.2247,80.38,24,49,3.98,AO,2022-08-03 16:56:02
172,Pyay,18.8167,95.2167,77.65,93,100,8.1,MM,2022-08-03 16:56:02
